South Indian | x=202.00 | y=46.00
Hot Beverages | x=557.00 | y=49.50
Plain Dosa | x=80.00 | y=87.00
80 | x=356.50 | y=87.50
Tea | x=445.50 | y=92.50
10 | x=668.50 | y=91.00
Masala Dosa | x=89.00 | y=110.50
100 | x=350.00 | y=114.00
18888 | x=351.50 | y=163.50
Tea Milk | x=466.00 | y=121.50
20 | x=668.00 | y=122.50
PaneerDosa | x=87.50 | y=135.50
Hot Coffee | x=476.50 | y=152.50
Onion:Dosa | x=84.00 | y=162.00
50 | x=668.00 | y=153.00
Uttapam | x=71.00 | y=187.00
Green Tea. | x=474.00 | y=183.00
40 | x=668.00 | y=182.50
Sambhar-Vada | x=96.00 | y=212.50
70 | x=358.00 | y=212.50
Chilled Beverages | x=555.00 | y=265.50
Indian Snacks | x=199.50 | y=277.50
Dhokla Plain Plate | x=114.00 | y=316.00
20. | x=357.00 | y=316.50
Carrot (Gajar) Juice | x=514.00 | y=309.00
50 | x=671.00 | y=308.50
30 | x=356.50 | y=344.50
Pineapple Juice. | x=496.50 | y=341.50
Dry Fruit Dhokla Plate | x=132.00 | y=345.50
50 | x=670.00 | y=340.00
Sandwich Dhokla | x=111.00 | y=373.00
30 | x=355.50 | y=373.00
Orange Juice | x=485.00 | y=372.50
50 | x=669.50 | y=372.00
Khandvi Plate: | x=98.00 | y=403.50
50 | x=355.50 | y=402.50
Mixed Fruit Juice | x=500.50 | y=403.50
50 | x=672.00 | y=403.50
Chhole Kulcha Plate | x=123.50 | y=433.00
.50 | x=354.50 | y=433.00
Mosambi Juice | x=491.00 | y=436.00
50 | x=669.50 | y=435.50
Stuffed Paneer Kulcha (250 gm) | x=168.50 | y=463.00
120 | x=351.50 | y=464.00
Sweet Lime | x=477.50 | y=467.00
80 | x=669.50 | y=467.50
Stuffed Bread Pakoda (Per Piece) | x=176.00 | y=494.00
20 | x=355.50 | y=493.50
Masala Lass! | x=482.00 | y=499.50
40 | x=669.50 | y=500.00
Chhole Bhature Plate | x=128.00 | y=522.50
40 | x=355.50 | y=541.00
Cold Drink | x=473.50 | y=531.00
Half | x=272.50 | y=542.50
30 | x=671.00 | y=532.50
Full. | x=274.00 | y=567.00
60 | x=355.50 | y=566.50
(M.R.P.). | x=459.50 | y=561.50
Samosa (Chutney) | x=118.00 | y=594.50
30 | x=356.50 | y=594.50
Samosa with Chutney | x=133.00 | y=622.00
50 | x=355.50 | y=622.00
Milk Shakes | x=554.00 | y=642.50
