South Indian | x=202.00 | y=41.50
Indian Snacks | x=651.50 | y=39.00
Since : 1993 | x=1195.50 | y=64.00
Dhokla Plain Plate | x=484.50 | y=73.50
20 | x=890.50 | y=74.00
Plain Dosa | x=96.00 | y=87.00
.80 | x=342.50 | y=86.50
Dry Fruit Dhokla Plate | x=501.00 | y=96.50
30 | x=890.50 | y=97.00
Masala Dosa | x=105.50 | y=115.50
100 | x=336.50 | y=115.00
Sandwich Dhokla | x=479.50 | y=120.50
30 | x=890.50 | y=119.50
100% | x=1250.00 | y=122.00
Paneer Dosa. | x=105.50 | y=144.00
120 | x=336.00 | y=143.50
Khandvi Plate: | x=467.50 | y=144.00
50 | x=890.50 | y=143.50
VEG. FOOD | x=1283.00 | y=158.50
Onion Dosa | x=99.50 | y=173.50
120 | x=335.50 | y=172.00
Chhole Kulcha Plate | x=494.00 | y=167.00
50. | x=890.00 | y=166.50
Uttapam | x=85.00 | y=204.50
150 | x=336.50 | y=203.50
Stuffed Paneer Kulcha (250 gm | x=539.50 | y=190.00
120 | x=885.00 | y=191.50
Stuffed Bread Pakoda (Per Piece | x=542.00 | y=212.00
20 | x=889.50 | y=214.00
Sambhar Vada | x=116.50 | y=232.00
70. | x=344.50 | y=232.00
Chhole Bhature Plate | x=497.00 | y=234.50
Half | x=810.00 | y=236.50
40 | x=890.50 | y=236.00
iFull | x=807.50 | y=258.50
60 | x=890.50 | y=257.00
Hot Beverages | x=187.00 | y=292.00
Samosa with Chutney | x=497.00 | y=280.00
30 | x=890.50 | y=279.00
Tikki with Chutney | x=484.50 | y=301.00
50. | x=890.50 | y=302.00
MAHESH | x=1200.50 | y=341.50
Tea | x=56.50 | y=331.00
10 | x=339.00 | y=330.00
Bread Pakoda | x=465.00 | y=325.50
30 | x=890.50 | y=324.00
Tea Milk | x=80.50 | y=357.00
20 | x=338.00 | y=358.00
Badmi Puri | x=452.50 | y=347.00
20 | x=890.50 | y=347.00
Extra Puri | x=449.50 | y=371.00
20 | x=890.50 | y=370.00
Hot Coffee | x=94.50 | y=385.00
50 | x=338.50 | y=385.00
Mix Veg | x=440.50 | y=392.50
60 | x=890.50 | y=393.00
Green Tea. | x=90.50 | y=413.00
40 | x=339.00 | y=412.00
Extra Pav | x=446.50 | y=415.00
15 | x=890.50 | y=416.00
Channa Plate (Extra | x=492.50 | y=439.50
.30 | x=890.00 | y=439.50
A | x=1359.00 | y=433.50
iPav Plate (Extra) | x=477.50 | y=464.00
30 | x=890.00 | y=462.50
Chilled Beverages | x=192.00 | y=481.50
Sweets & Bakers | x=1203.50 | y=486.50
Sambar Plate Extra | x=489.00 | y=487.00
30 | x=890.00 | y=485.00
Carrot (Gajar) Juice. | x=124.00 | y=521.00
:50 | x=333.00 | y=520.00
Pineapple Juice. | x=106.50 | y=544.50
.50 | x=334.00 | y=543.00
Milk Shakes | x=538.50 | y=551.50
Plain | x=764.00 | y=554.50
Ice Cream. | x=868.00 | y=554.00
