name,category,price,column,x,y,original_name
Plain Dosa,Puffs Patties & Rolls,80,0,80.0,87.0,Plain Dosa
Masala Dosa,Puffs Patties & Rolls,100,0,89.0,110.5,Masala Dosa
Uttapam,Puffs Patties & Rolls,70,0,71.0,187.0,Uttapam
Dhokla Plain Plate,Puffs Patties & Rolls,20,0,114.0,316.0,Dhokla Plain Plate
Dry Fruit Dhokla Plate,Puffs Patties & Rolls,30,0,132.0,345.5,Dry Fruit Dhokla Plate
Sandwich Dhokla,Pastries,30,1,111.0,373.0,Sandwich Dhokla
Khandvi Plate,Pastries,50,1,98.0,403.5,Khandvi Plate
Chhole Kulcha Plate,Pastries,50,1,123.5,433.0,Chhole Kulcha Plate
Stuffed Paneer Kulcha (250 gm),Pastries,120,1,168.5,463.0,Stuffed Paneer Kulcha (250 gm)
Stuffed Bread Pakoda (Per Piece),Pastries,20,1,176.0,494.0,Stuffed Bread Pakoda (Per Piece)
Chhole Bhature Plate,Pastries,40,1,128.0,522.5,Chhole Bhature Plate
Half,Pastries,60,1,272.5,542.5,Half
Full.,Pastries,30,1,274.0,567.0,Full.
Samosa (Chutney),Pastries,50,1,118.0,594.5,Samosa (Chutney)
Samosa with Chutney,Pastries,30,1,133.0,622.0,Samosa with Chutney
Tikki with Chutney,Pastries,30,1,117.5,651.0,Tikki with Chutney
Bread Pakoda,Pastries,20,1,96.5,681.0,Bread Pakoda
Papdi Puri,Pastries,20,1,85.5,708.5,Badmi Puri
Extra Puri.,Pastries,60,1,82.5,737.0,Extra Puri.
Mix Veg,Pastries,15,1,72.5,765.5,Mix Veg
Extra Pay,Pastries,30,1,77.0,792.5,Extra Pay
Pay Plate (Extra,Swiss Roll,30,2,108.0,849.0,Pay Plate (Extra
Sambar Plate Extra,Swiss Roll,30,2,116.5,877.5,Sambar Plate Extra
Plain Cream,Puddings,90,6,645.5,697.5,Plain Cream
