name,category,price,column,x,y,original_name
Plain Dosa,Puffs Patties & Rolls,80,0,76.5,87.0,Plain Dosa
Masala Dosa,Puffs Patties & Rolls,100,0,84.5,116.5,Masala Dosa
Paneer Roll,Puffs Patties & Rolls,120,0,83.0,147.0,Paneer Dosa
Onion Dosa,Puffs Patties & Rolls,120,0,81.0,180.0,Onion Dosa
Uttapam,Puffs Patties & Rolls,150,0,69.5,210.0,Uttapam
Sambhar Vada,Puffs Patties & Rolls,70,0,91.0,239.0,Sambhar Vada
Dhokla Plain Plate,Puffs Patties & Rolls,20,0,97.5,345.5,Dhokla Plain Plate
Dry Fruit Dhokla Plate,Pastries,30,1,111.0,372.0,Dry Fruit Dhokla Plate
Sandwich Dhokla,Pastries,30,1,94.0,398.0,Sandwich Dhokla
KhandviPlate,Pastries,50,1,83.5,424.0,KhandviPlate
Chhole Kulcha Plate,Pastries,50,1,104.0,450.0,Chhole Kulcha Plate
Stuffed Paneer Kulcha Plate (250. gm),Pastries,120,1,162.0,475.0,Stuffed Paneer Kulcha Plate (250. gm)
Stuffed Bread Pakoda (Per Piece,Pastries,20,1,146.0,501.0,Stuffed Bread Pakoda (Per Piece
!Half,Pastries,60,1,291.0,532.5,!Half
Chhole Bhature Plate,Pastries,40,1,106.5,551.0,Chhole Bhature Plate
Samosa with Chutney,Pastries,15,1,107.0,578.0,Samosa with Chutney
$amosa with Channa,Pastries,30,1,105.0,605.5,$amosa with Channa
Tikki with Chutney,Pastries,30,1,98.0,630.5,Tikki with Chutney
Tikki with Channa,Pastries,60,1,96.0,655.5,Tikki with Channa
Bedmi Puri.,Pastries,60,1,70.5,699.0,Bedmi Puri.
Extra Purii,Pastries,20,1,68.5,728.0,Extra Purii
Pav Bhaji.,Pastries,60,1,65.5,755.5,Pav Bhaji.
Extra Pav,Pastries,15,1,66.5,779.5,Extra Pav
Channa Plate (Extra),Pastries,30,1,103.0,806.0,Channa Plate (Extra)
Pav Plate Extra,Swiss Roll,30,2,91.5,833.0,Pav Plate Extra
Sambar.Plate (Extra),Swiss Roll,30,2,104.0,859.0,Sambar.Plate (Extra)
