name,category,price,column,x,y,original_name
Plain Dosa,Puffs Patties & Rolls,80,0,80.0,97.0,Plain Dosa
Masala Dosa,Puffs Patties & Rolls,100,0,88.0,133.0,Masala Dosa
Paneer Dosa.,Puffs Patties & Rolls,120,0,89.5,172.0,Paneer Dosa.
Onion Dosa,Puffs Patties & Rolls,120,0,85.0,209.0,Onion Dosa
Uttapam,Puffs Patties & Rolls,150,0,71.5,249.5,Uttapam
Samber Vadda,Puffs Patties & Rolls,70,0,97.0,287.0,Samber Vadda
Plain,Pastries,90,1,395.0,671.5,Plain
Milk Badam,Pastries,60,1,82.5,700.0,Milk Badam
Strawberry Milk Shake,Pastries,70,1,127.0,733.0,Strawberry Milk Shake
Burberry Milk Shake.,Pastries,70,1,120.0,765.0,Burberry Milk Shake.
Bubblegum Milk Shake,Pastries,70,1,130.0,798.0,Bubblegum Milk Shake
Butterscotch Milk Shake,Swiss Roll,70,2,136.0,832.5,Butterscotch Milk Shake
Chocolate Pie,Swiss Roll,70,2,123.0,866.0,Chocolate Milk Shake
Chocolate Oreo Milk Shake,Swiss Roll,70,2,147.0,901.0,Chocolate Oreo Milk Shake
Banana Milk Shake,Swiss Roll,70,2,114.0,935.0,Banana Milk Shake
Mango Milk Shake,Swiss Roll,70,2,110.5,968.0,Mango Milk Shake
Cold Coffee Frappe,Swiss Roll,70,2,112.0,1001.0,Cold Coffee Frappe
Frappe Mocha,Swiss Roll,70,2,92.5,1035.0,Frappe Mocha
Frappe Caramel,Swiss Roll,70,2,98.5,1069.5,Frappe Caramel
Half 40,Pies / Tarts,20,4,568.5,277.5,Half 40
